"","X.1","X","ID","Group","Group_affiliation","YOB","Age","Gender","Sex","IndividScore","Est_Score","Overconfidence","Group_Quiz_Score","Group_Bonus_Score","Nominated","mode_influential","initial_influential","mode_learn","initial_learn","aveP","aveD","meanP","meanD","aveInf","aveLik","sScore","GroupID","o_conf","ageS","OConfBIN"
"80",92,92,102,21,"Clarinet ChoirStreatham G6",1997,21,"F",1,29,25,-4,32,3,0,0,0,0,0,0.833333333333333,0.244791666666667,6,2.46875,0.75,0.979166666666667,0.375,12,0.507352941176471,-25.4852941176471,0
"81",93,93,103,21,"Clarinet ChoirStreatham G7",1995,23,"F",1,29,29,0,32,3,1,0,0,0,0,0.777777777777778,0.182291666666667,5.66666666666667,2.09375,0.708333333333333,0.9375,0.375,12,4.50735294117647,-23.4852941176471,0
"82",94,94,104,21,"Clarinet ChoirStreatham G8",1998,20,"F",1,28,14,-14,32,3,0,0,0,0,0,0.777777777777778,0.119791666666667,5.66666666666667,1.71875,0.611111111111111,0.916666666666667,-0.625,12,-9.49264705882353,-26.4852941176471,0
"83",95,95,105,21,"Clarinet ChoirStreatham G9",1995,23,"F",1,31,31,0,32,3,0,0,0,0,0,0.754629629629629,0.244791666666666,5.52777777777778,2.46875,0.638888888888889,0.895833333333333,2.375,12,4.50735294117647,-23.4852941176471,0
"84",96,96,106,22,"Hotel Perfect Tremough Innovation Centre",1992,26,"M",0,28,27,-1,38,5,0,110,0,109,0,0.708333333333333,0.0520833333333333,5.25,1.3125,0.666666666666667,1,-0.625,13,3.50735294117647,-20.4852941176471,0
"85",97,97,107,22,"Hotel Perfect Tremough Innovation Centre",1985,33,"F",1,30,20,-10,38,5,0,110,0,109,0,0.652777777777777,0.395833333333333,4.91666666666667,3.375,0.472222222222222,0.8125,1.375,13,-5.49264705882353,-13.4852941176471,0
"86",98,98,108,22,"Hotel Perfect Tremough Innovation Centre",1996,22,"F",1,24,20,-4,38,5,0,110,0,109,0,0.731481481481482,0.119791666666667,5.38888888888889,1.71875,0.444444444444444,1,-4.625,13,0.507352941176471,-24.4852941176471,0
"87",99,99,109,22,"Hotel Perfect Tremough Innovation Centre",1973,45,"F",1,35,31,-4,38,5,1,110,0,109,1,0.949074074074074,0.291666666666667,6.69444444444444,2.75,1,1,6.375,13,0.507352941176471,-1.48529411764706,0
"88",100,100,110,22,"Hotel Perfect Tremough Innovation Centre",1972,46,"F",1,28,15,-13,38,5,0,110,1,109,0,0.810185185185185,0.572916666666667,5.86111111111111,4.4375,0.625,0.875,-0.625,13,-8.49264705882353,-0.485294117647058,0
"89",102,102,112,23,"Kayak Club Falmouth (student)",1996,22,"F",1,32,25,-7,26,1,0,112,1,0,0,0.820987654320988,0.125,5.92592592592592,1.75,0.666666666666667,0.75,3.375,14,-2.49264705882353,-24.4852941176471,0
